
            boundary,place
feature,"Atherton, California"
center,"-122.2008, 37.4501"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average)
1950,2699.57421875,
1951,2922.4382324219,
1952,3004.9140625,
1953,2817.2341308594,
1954,2894.5593261719,
1955,3220.7131347656,
1956,2980.41015625,
1957,2668.533203125,
1958,2368.0200195312,
1959,2407.0561523438,
1960,2880.3962402344,
1961,2940.2822265625,
1962,2938.287109375,
1963,2959.3352050781,
1964,3106.9321289062,
1965,2972.5261230469,
1966,2704.2092285156,
1967,2831.6162109375,
1968,2713.4072265625,
1969,2731.4880371094,
1970,2642.2502441406,
1971,3234.498046875,
1972,2869.5751953125,
1973,2660.8232421875,
1974,2825.3342285156,
1975,3061.8420410156,
1976,2804.1872558594,
1977,2694.7951660156,
1978,2548.4702148438,
1979,2665.3591308594,
1980,2527.119140625,
1981,2338.9982910156,
1982,3026.037109375,
1983,2413.578125,
1984,2674.8901367188,
1985,3002.2292480469,
1986,2328.162109375,
1987,2524.3352050781,
1988,2589.2280273438,
1989,2815.5212402344,
1990,2804.3161621094,
1991,2835.62109375,
1992,2328.36328125,
1993,2700.3630371094,
1994,3048.5041503906,
1995,2247.2912597656,
1996,2220.3181152344,
1997,2183.9011230469,
1998,2898.6511230469,
1999,2828.6640625,
2000,2489.8081054688,
2001,2527.6860351562,
2002,2589.7980957031,
2003,2423.3220214844,
2004,2421.4230957031,
2005,2417.7961425781,
2006,2716.9382324219,2388.708984375
2007,,2724.0463867188
2008,,2481.4921875
2009,,2195.2631835938
2010,,2137.8696289062
2011,,2303.6071777344
2012,,2252.8657226562
2013,,2058.3891601562
2014,,2287.1408691406
2015,,2185.1276855469
2016,,1916.1422119141
2017,,2134.4934082031
2018,,2183.1789550781
2019,,2362.7761230469
2020,,1999.0804443359
2021,,2010.5316162109
2022,,2222.7062988281
2023,,2131.6884765625
2024,,2163.1274414062
2025,,2259.7019042969
2026,,1933.8518066406
2027,,2068.3293457031
2028,,1922.3309326172
2029,,1866.1313476562
2030,,1964.8547363281
2031,,1722.1398925781
2032,,1991.0187988281
2033,,2116.4174804688
2034,,2063.0532226562
2035,,2000.0872802734
2036,,1825.4111328125
2037,,1814.9479980469
2038,,1917.6944580078
2039,,2001.5729980469
2040,,1997.5860595703
2041,,2094.3293457031
2042,,2129.8784179688
2043,,2413.048828125
2044,,2165.7861328125
2045,,2117.4409179688
2046,,1902.3515625
2047,,1837.8746337891
2048,,1731.1538085938
2049,,1810.6998291016
2050,,1787.443359375
2051,,1589.1827392578
2052,,1980.1593017578
2053,,1478.4299316406
2054,,1489.0552978516
2055,,1742.0289306641
2056,,1873.1453857422
2057,,2054.4262695312
2058,,1628.9519042969
2059,,1468.7808837891
2060,,1456.3803710938
2061,,1869.0662841797
2062,,1549.5161132812
2063,,1719.0653076172
2064,,1638.59375
2065,,1757.8254394531
2066,,1763.5766601562
2067,,1606.7484130859
2068,,1711.1815185547
2069,,1613.9243164062
2070,,1575.1781005859
2071,,1471.4750976562
2072,,1757.4653320312
2073,,1758.9768066406
2074,,1465.7308349609
2075,,1911.4409179688
2076,,1602.4732666016
2077,,1528.8797607422
2078,,1638.2292480469
2079,,1453.2991943359
2080,,1118.8043212891
2081,,1283.6160888672
2082,,1600.4505615234
2083,,1708.7342529297
2084,,1544.2849121094
2085,,1357.9931640625
2086,,1486.0562744141
2087,,1322.6633300781
2088,,1611.5017089844
2089,,1706.5550537109
2090,,1803.9816894531
2091,,2140.1264648438
2092,,1866.6207275391
2093,,1737.9008789062
2094,,1671.1337890625
2095,,1858.4156494141
2096,,1852.62109375
2097,,1733.5249023438
2098,,1574.6744384766
2099,,1622.4415283203
2100,,1432.1983642578
          
