
            boundary,place
feature,"Atherton, California"
center,"-122.2008, 37.4501"
scenario,Medium (RCP 4.5)
climate variable,Maximum Temperature
climate indicator,[object Object]
units,degree days 
            
 

            year,Observed,CanESM2 (Average)
1950,268.8328857422,
1951,171.2159729004,
1952,223.2179260254,
1953,198.6329040527,
1954,225.8519439697,
1955,156.1919250488,
1956,162.2909240723,
1957,283.1039123535,
1958,397.3978881836,
1959,368.7149047852,
1960,278.0699462891,
1961,451.328918457,
1962,153.2789611816,
1963,235.9949645996,
1964,262.2809448242,
1965,189.4829711914,
1966,253.9559020996,
1967,345.5159301758,
1968,313.5389404297,
1969,300.7198791504,
1970,305.8618774414,
1971,378.1469421387,
1972,340.1368713379,
1973,373.844909668,
1974,388.5449829102,
1975,311.1449584961,
1976,429.7409362793,
1977,346.2419128418,
1978,441.2518920898,
1979,423.1649169922,
1980,267.8009338379,
1981,441.7978515625,
1982,312.0029296875,
1983,536.6578369141,
1984,636.2248535156,
1985,407.3549194336,
1986,270.5369873047,
1987,318.50390625,
1988,432.4019165039,
1989,347.1149291992,
1990,336.1499023438,
1991,334.7489624023,
1992,448.2598266602,
1993,489.404876709,
1994,266.8439331055,
1995,482.9638977051,
1996,562.7009277344,
1997,598.9259033203,
1998,407.402923584,
1999,355.7489318848,
2000,522.0599365234,
2001,499.8148803711,
2002,451.1549072266,
2003,588.1799316406,
2004,489.7498779297,
2005,334.3738708496,
2006,481.7249145508,432.2739257812
2007,,356.986328125
2008,,501.477722168
2009,,470.3836364746
2010,,623.4760742188
2011,,501.7264709473
2012,,469.3283081055
2013,,482.4529724121
2014,,435.8467407227
2015,,515.2071533203
2016,,424.7313537598
2017,,525.2877807617
2018,,609.3519287109
2019,,581.7695922852
2020,,612.5334472656
2021,,672.1951904297
2022,,554.4020996094
2023,,608.438293457
2024,,669.8641967773
2025,,603.451171875
2026,,696.8024291992
2027,,459.3960266113
2028,,684.752746582
2029,,610.5473022461
2030,,935.2781982422
2031,,697.5645141602
2032,,763.9529418945
2033,,670.0635375977
2034,,614.4899291992
2035,,829.010559082
2036,,1172.7243652344
2037,,908.2844238281
2038,,708.3470458984
2039,,758.2417602539
2040,,829.4176025391
2041,,955.4376831055
2042,,872.8514404297
2043,,1013.6968994141
2044,,679.5044555664
2045,,960.9297485352
2046,,1005.3475952148
2047,,829.5919189453
2048,,1195.5489501953
2049,,784.6001586914
2050,,920.6561889648
2051,,906.8037719727
2052,,712.5763549805
2053,,946.0623779297
2054,,1077.2116699219
2055,,1151.8494873047
2056,,1046.7078857422
2057,,813.9294433594
2058,,1157.5129394531
2059,,1100.8695068359
2060,,1201.5074462891
2061,,1221.2569580078
2062,,1010.6216430664
2063,,1002.3518066406
2064,,1162.9464111328
2065,,868.9906005859
2066,,1042.0020751953
2067,,963.6724853516
2068,,1147.7362060547
2069,,929.9650268555
2070,,1083.0130615234
2071,,1247.6044921875
2072,,1013.8563232422
2073,,1054.1895751953
2074,,1586.1015625
2075,,1311.2357177734
2076,,1053.9339599609
2077,,1212.2088623047
2078,,1211.9322509766
2079,,1185.7824707031
2080,,1191.2369384766
2081,,1153.4877929688
2082,,1284.8498535156
2083,,987.3849487305
2084,,1232.7689208984
2085,,989.1281738281
2086,,1269.1157226562
2087,,1230.9548339844
2088,,1387.2153320312
2089,,1054.1995849609
2090,,1166.81640625
2091,,941.3988037109
2092,,1100.9306640625
2093,,983.4487915039
2094,,807.4613037109
2095,,899.5923461914
2096,,859.9493408203
2097,,907.2098388672
2098,,1082.603515625
2099,,1151.9417724609
2100,,1019.7444458008
          
