ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93117,10,2017,Elec- Agricultural,Y,0,0,NA
93117,11,2017,Elec- Agricultural,Y,0,0,NA
93117,12,2017,Elec- Agricultural,Y,0,0,NA
93203,10,2017,Elec- Agricultural,Y,0,0,NA
93203,11,2017,Elec- Agricultural,Y,0,0,NA
93203,12,2017,Elec- Agricultural,Y,0,0,NA
93204,10,2017,Elec- Agricultural,Y,0,0,NA
93204,11,2017,Elec- Agricultural,Y,0,0,NA
93204,12,2017,Elec- Agricultural,Y,0,0,NA
93206,10,2017,Elec- Agricultural,Y,0,0,NA
93206,11,2017,Elec- Agricultural,Y,0,0,NA
93206,12,2017,Elec- Agricultural,Y,0,0,NA
93210,10,2017,Elec- Agricultural,Y,409,6895453,16859
93210,11,2017,Elec- Agricultural,Y,339,6214815,18333
93210,12,2017,Elec- Agricultural,Y,0,0,NA
93212,10,2017,Elec- Agricultural,Y,278,8155588,29337
93212,11,2017,Elec- Agricultural,Y,0,0,NA
93212,12,2017,Elec- Agricultural,Y,0,0,NA
93215,10,2017,Elec- Agricultural,Y,0,0,NA
93215,11,2017,Elec- Agricultural,Y,0,0,NA
93215,12,2017,Elec- Agricultural,Y,0,0,NA
93219,10,2017,Elec- Agricultural,Y,0,0,NA
93219,11,2017,Elec- Agricultural,Y,0,0,NA
93219,12,2017,Elec- Agricultural,Y,0,0,NA
93225,10,2017,Elec- Agricultural,Y,0,0,NA
93225,11,2017,Elec- Agricultural,Y,0,0,NA
93225,12,2017,Elec- Agricultural,Y,0,0,NA
93230,10,2017,Elec- Agricultural,N,385,6755770,17547
93230,11,2017,Elec- Agricultural,Y,662,10284885,15536
93230,12,2017,Elec- Agricultural,Y,669,11535369,17243
93234,10,2017,Elec- Agricultural,Y,0,0,NA
93234,11,2017,Elec- Agricultural,Y,0,0,NA
93234,12,2017,Elec- Agricultural,Y,0,0,NA
93239,10,2017,Elec- Agricultural,Y,0,0,NA
93239,11,2017,Elec- Agricultural,Y,0,0,NA
93239,12,2017,Elec- Agricultural,Y,0,0,NA
93241,10,2017,Elec- Agricultural,Y,0,0,NA
93241,11,2017,Elec- Agricultural,Y,0,0,NA
93241,12,2017,Elec- Agricultural,Y,0,0,NA
93242,10,2017,Elec- Agricultural,Y,0,0,NA
93242,11,2017,Elec- Agricultural,Y,0,0,NA
93242,12,2017,Elec- Agricultural,Y,0,0,NA
93243,10,2017,Elec- Agricultural,Y,0,0,NA
93243,11,2017,Elec- Agricultural,Y,0,0,NA
93243,12,2017,Elec- Agricultural,Y,0,0,NA
93245,10,2017,Elec- Agricultural,Y,627,3805363,6069
93245,11,2017,Elec- Agricultural,Y,833,7192814,8635
93245,12,2017,Elec- Agricultural,Y,1176,12616309,10728
93249,10,2017,Elec- Agricultural,Y,0,0,NA
93249,11,2017,Elec- Agricultural,Y,0,0,NA
93249,12,2017,Elec- Agricultural,Y,0,0,NA
93250,10,2017,Elec- Agricultural,Y,364,6165353,16938
93250,11,2017,Elec- Agricultural,Y,0,0,NA
93250,12,2017,Elec- Agricultural,Y,0,0,NA
93251,10,2017,Elec- Agricultural,Y,0,0,NA
93251,11,2017,Elec- Agricultural,Y,0,0,NA
93251,12,2017,Elec- Agricultural,Y,0,0,NA
93252,10,2017,Elec- Agricultural,Y,0,0,NA
93252,11,2017,Elec- Agricultural,Y,0,0,NA
93252,12,2017,Elec- Agricultural,Y,0,0,NA
93254,10,2017,Elec- Agricultural,Y,0,0,NA
93254,11,2017,Elec- Agricultural,Y,0,0,NA
93254,12,2017,Elec- Agricultural,Y,0,0,NA
93256,10,2017,Elec- Agricultural,Y,0,0,NA
93256,11,2017,Elec- Agricultural,Y,0,0,NA
93256,12,2017,Elec- Agricultural,Y,0,0,NA
93262,10,2017,Elec- Agricultural,Y,0,0,NA
93262,11,2017,Elec- Agricultural,Y,0,0,NA
93262,12,2017,Elec- Agricultural,Y,0,0,NA
93263,10,2017,Elec- Agricultural,Y,0,0,NA
93263,11,2017,Elec- Agricultural,Y,0,0,NA
93263,12,2017,Elec- Agricultural,Y,0,0,NA
93266,10,2017,Elec- Agricultural,Y,0,0,NA
93266,11,2017,Elec- Agricultural,Y,0,0,NA
93266,12,2017,Elec- Agricultural,Y,0,0,NA
93268,10,2017,Elec- Agricultural,Y,0,0,NA
93268,11,2017,Elec- Agricultural,Y,0,0,NA
93268,12,2017,Elec- Agricultural,Y,0,0,NA
93272,10,2017,Elec- Agricultural,Y,0,0,NA
93272,11,2017,Elec- Agricultural,Y,0,0,NA
93272,12,2017,Elec- Agricultural,Y,0,0,NA
93274,10,2017,Elec- Agricultural,Y,0,0,NA
93274,11,2017,Elec- Agricultural,Y,0,0,NA
93274,12,2017,Elec- Agricultural,Y,0,0,NA
93276,10,2017,Elec- Agricultural,Y,0,0,NA
93276,11,2017,Elec- Agricultural,Y,0,0,NA
93276,12,2017,Elec- Agricultural,Y,0,0,NA
93277,10,2017,Elec- Agricultural,Y,0,0,NA
93277,11,2017,Elec- Agricultural,Y,0,0,NA
93277,12,2017,Elec- Agricultural,Y,0,0,NA
93280,10,2017,Elec- Agricultural,Y,687,28822959,41955
93280,11,2017,Elec- Agricultural,Y,1075,26857310,24984
93280,12,2017,Elec- Agricultural,Y,1006,19820078,19702
93286,10,2017,Elec- Agricultural,Y,180,543090,3017
93286,11,2017,Elec- Agricultural,Y,0,0,NA
93286,12,2017,Elec- Agricultural,Y,194,470753,2427
93291,10,2017,Elec- Agricultural,Y,0,0,NA
93291,11,2017,Elec- Agricultural,Y,0,0,NA
93291,12,2017,Elec- Agricultural,Y,0,0,NA
93292,10,2017,Elec- Agricultural,Y,0,0,NA
93292,11,2017,Elec- Agricultural,Y,0,0,NA
93292,12,2017,Elec- Agricultural,Y,0,0,NA
93301,10,2017,Elec- Agricultural,Y,0,0,NA
93301,11,2017,Elec- Agricultural,Y,105,782475,7452
93301,12,2017,Elec- Agricultural,Y,0,0,NA
93304,10,2017,Elec- Agricultural,Y,0,0,NA
93304,11,2017,Elec- Agricultural,Y,0,0,NA
93304,12,2017,Elec- Agricultural,Y,0,0,NA
93305,10,2017,Elec- Agricultural,Y,0,0,NA
93305,11,2017,Elec- Agricultural,Y,0,0,NA
93305,12,2017,Elec- Agricultural,Y,0,0,NA
93306,10,2017,Elec- Agricultural,Y,0,0,NA
93306,11,2017,Elec- Agricultural,Y,0,0,NA
93306,12,2017,Elec- Agricultural,Y,0,0,NA
93307,10,2017,Elec- Agricultural,Y,1077,38670643,35906
93307,11,2017,Elec- Agricultural,Y,1013,26775892,26432
93307,12,2017,Elec- Agricultural,Y,1179,20019084,16980
93308,10,2017,Elec- Agricultural,Y,0,0,NA
93308,11,2017,Elec- Agricultural,Y,0,0,NA
93308,12,2017,Elec- Agricultural,Y,0,0,NA
93309,10,2017,Elec- Agricultural,Y,0,0,NA
93309,11,2017,Elec- Agricultural,Y,0,0,NA
93309,12,2017,Elec- Agricultural,Y,0,0,NA
93311,10,2017,Elec- Agricultural,Y,0,0,NA
93311,11,2017,Elec- Agricultural,Y,0,0,NA
93311,12,2017,Elec- Agricultural,Y,0,0,NA
93312,10,2017,Elec- Agricultural,Y,0,0,NA
93312,11,2017,Elec- Agricultural,Y,0,0,NA
93312,12,2017,Elec- Agricultural,Y,0,0,NA
93313,10,2017,Elec- Agricultural,Y,0,0,NA
93313,11,2017,Elec- Agricultural,Y,0,0,NA
93313,12,2017,Elec- Agricultural,Y,0,0,NA
93314,10,2017,Elec- Agricultural,Y,0,0,NA
93314,11,2017,Elec- Agricultural,Y,0,0,NA
93314,12,2017,Elec- Agricultural,Y,0,0,NA
93401,10,2017,Elec- Agricultural,Y,0,0,NA
93401,11,2017,Elec- Agricultural,Y,0,0,NA
93401,12,2017,Elec- Agricultural,Y,0,0,NA
93402,10,2017,Elec- Agricultural,Y,0,0,NA
