ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALTHM,AVERAGETHM
92304,10,2017,Gas- Commercial,Y,0,0,NA
92304,11,2017,Gas- Commercial,Y,0,0,NA
92304,12,2017,Gas- Commercial,Y,0,0,NA
92365,10,2017,Gas- Commercial,Y,0,0,NA
92365,11,2017,Gas- Commercial,Y,0,0,NA
92365,12,2017,Gas- Commercial,Y,0,0,NA
93203,10,2017,Gas- Commercial,Y,0,0,NA
93203,11,2017,Gas- Commercial,Y,0,0,NA
93203,12,2017,Gas- Commercial,Y,0,0,NA
93204,10,2017,Gas- Commercial,Y,194,28538,147
93204,11,2017,Gas- Commercial,Y,0,0,NA
93204,12,2017,Gas- Commercial,Y,273,101982,374
93210,10,2017,Gas- Commercial,Y,0,0,NA
93210,11,2017,Gas- Commercial,Y,0,0,NA
93210,12,2017,Gas- Commercial,Y,0,0,NA
93224,10,2017,Gas- Commercial,Y,0,0,NA
93224,11,2017,Gas- Commercial,Y,0,0,NA
93224,12,2017,Gas- Commercial,Y,0,0,NA
93234,10,2017,Gas- Commercial,Y,0,0,NA
93234,11,2017,Gas- Commercial,Y,0,0,NA
93234,12,2017,Gas- Commercial,Y,0,0,NA
93239,10,2017,Gas- Commercial,Y,0,0,NA
93239,11,2017,Gas- Commercial,Y,0,0,NA
93239,12,2017,Gas- Commercial,Y,0,0,NA
93252,10,2017,Gas- Commercial,Y,0,0,NA
93252,11,2017,Gas- Commercial,Y,0,0,NA
93252,12,2017,Gas- Commercial,Y,0,0,NA
93263,10,2017,Gas- Commercial,Y,0,0,NA
93263,11,2017,Gas- Commercial,Y,0,0,NA
93263,12,2017,Gas- Commercial,Y,0,0,NA
93268,10,2017,Gas- Commercial,Y,258,15944,62
93268,11,2017,Gas- Commercial,Y,275,24496,89
93268,12,2017,Gas- Commercial,Y,262,42266,161
93280,10,2017,Gas- Commercial,Y,0,0,NA
93280,11,2017,Gas- Commercial,Y,0,0,NA
93280,12,2017,Gas- Commercial,Y,0,0,NA
93301,10,2017,Gas- Commercial,N,1141,105045,92
93301,11,2017,Gas- Commercial,N,1142,144723,127
93301,12,2017,Gas- Commercial,N,1156,323057,279
93304,10,2017,Gas- Commercial,N,595,74584,125
93304,11,2017,Gas- Commercial,N,599,84251,141
93304,12,2017,Gas- Commercial,N,603,149942,249
93305,10,2017,Gas- Commercial,N,495,53440,108
93305,11,2017,Gas- Commercial,N,494,64706,131
93305,12,2017,Gas- Commercial,N,494,133475,270
93306,10,2017,Gas- Commercial,N,364,78557,216
93306,11,2017,Gas- Commercial,N,365,86731,238
93306,12,2017,Gas- Commercial,N,365,142215,390
93307,10,2017,Gas- Commercial,Y,658,82572,125
93307,11,2017,Gas- Commercial,Y,1235,220206,178
93307,12,2017,Gas- Commercial,Y,664,228059,343
93308,10,2017,Gas- Commercial,Y,479,51942,108
93308,11,2017,Gas- Commercial,Y,501,67989,136
93308,12,2017,Gas- Commercial,Y,504,143236,284
93309,10,2017,Gas- Commercial,N,383,57340,150
93309,11,2017,Gas- Commercial,N,386,71011,184
93309,12,2017,Gas- Commercial,N,393,141605,360
93311,10,2017,Gas- Commercial,Y,69,11248,163
93311,11,2017,Gas- Commercial,Y,0,0,NA
93311,12,2017,Gas- Commercial,Y,0,0,NA
93313,10,2017,Gas- Commercial,N,530,68189,129
93313,11,2017,Gas- Commercial,Y,0,0,NA
93313,12,2017,Gas- Commercial,Y,581,258494,445
93314,10,2017,Gas- Commercial,Y,0,0,NA
93314,11,2017,Gas- Commercial,Y,0,0,NA
93314,12,2017,Gas- Commercial,Y,0,0,NA
93432,10,2017,Gas- Commercial,Y,0,0,NA
93432,11,2017,Gas- Commercial,Y,0,0,NA
93432,12,2017,Gas- Commercial,Y,0,0,NA
93446,10,2017,Gas- Commercial,Y,0,0,NA
93446,11,2017,Gas- Commercial,Y,0,0,NA
93446,12,2017,Gas- Commercial,Y,0,0,NA
93450,10,2017,Gas- Commercial,Y,0,0,NA
93450,11,2017,Gas- Commercial,Y,0,0,NA
93450,12,2017,Gas- Commercial,Y,0,0,NA
93461,10,2017,Gas- Commercial,Y,0,0,NA
93461,11,2017,Gas- Commercial,Y,0,0,NA
93461,12,2017,Gas- Commercial,Y,0,0,NA
93516,10,2017,Gas- Commercial,Y,0,0,NA
93516,11,2017,Gas- Commercial,Y,0,0,NA
93516,12,2017,Gas- Commercial,Y,0,0,NA
93523,10,2017,Gas- Commercial,Y,0,0,NA
93523,11,2017,Gas- Commercial,Y,0,0,NA
93523,12,2017,Gas- Commercial,Y,0,0,NA
93555,10,2017,Gas- Commercial,Y,591,58589,99
93555,11,2017,Gas- Commercial,Y,607,81411,134
93555,12,2017,Gas- Commercial,Y,619,178201,288
93561,10,2017,Gas- Commercial,Y,0,0,NA
93561,11,2017,Gas- Commercial,Y,0,0,NA
93561,12,2017,Gas- Commercial,Y,0,0,NA
93562,10,2017,Gas- Commercial,Y,0,0,NA
93562,11,2017,Gas- Commercial,Y,0,0,NA
93562,12,2017,Gas- Commercial,Y,0,0,NA
93608,10,2017,Gas- Commercial,Y,0,0,NA
93608,11,2017,Gas- Commercial,Y,0,0,NA
93608,12,2017,Gas- Commercial,Y,0,0,NA
93610,10,2017,Gas- Commercial,Y,0,0,NA
93610,11,2017,Gas- Commercial,N,194,29892,154
93610,12,2017,Gas- Commercial,N,195,49249,253
93611,10,2017,Gas- Commercial,Y,463,81050,175
93611,11,2017,Gas- Commercial,Y,0,0,NA
93611,12,2017,Gas- Commercial,Y,0,0,NA
93612,10,2017,Gas- Commercial,N,917,126874,138
93612,11,2017,Gas- Commercial,Y,1356,244590,180
